Strategy,Episode,Success,Steps,Plans,Reward
Run-Lookahead,1,False,0,0,0
Run-Lookahead,2,True,12,1,9
Run-Lookahead,3,False,0,0,0
Run-Lookahead,4,False,0,0,0
Run-Lookahead,5,False,0,0,0
Run-Lookahead,6,False,0,0,0
Run-Lookahead,7,True,10,1,11
Run-Lookahead,8,False,0,0,0
Run-Lookahead,9,True,15,1,6
Run-Lookahead,10,True,15,1,6
